#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
2050,-445903.24233731325,91454.40742030872,-354448.8349170045,301.42463202327906,466.6883046594314
2100,-445052.5720489817,92523.09391154876,-352529.47813743295,304.94691642111934,466.6883046594314
2150,-445507.470963466,91889.14178868504,-353618.3291747809,302.85747326857273,466.6883046594314
2200,-445122.67932712287,92424.11238995305,-352698.5669371698,304.62068316932016,467.7047567257958
2250,-443855.85137180495,90910.476778231,-352945.374593574,299.63189071906874,467.3523103973532
2300,-444964.3995605421,91826.51792317798,-353137.8816373641,302.6510712355948,467.3523103973532
2350,-444222.915968674,91990.59353906747,-352232.3224296065,303.1918481487969,467.3523103973532
2400,-445427.1202243583,91717.78973281471,-353709.3304915436,302.29271393281124,467.22250927224155
2450,-443410.7885354697,91267.78905429476,-352142.9994811749,300.80955644746757,467.22250927224155
2500,-443972.1048573763,92424.47103918731,-351547.63381818903,304.62186524152986,467.22250927224155
2550,-444145.51664559776,91623.68634262399,-352521.83030297374,301.9825585170092,467.22250927224155
2600,-443428.57448787475,91882.86422913319,-351545.7102587416,302.8367830565721,467.22250927224155
2650,-442280.7868776596,93396.53499160148,-348884.25188605813,307.8256913601874,467.22250927224155
2700,-442519.25048410567,91054.82887490993,-351464.42160919576,300.1076608743907,467.22250927224155
2750,-443902.1784476547,91263.85428950185,-352638.32415815286,300.7965878540093,467.22250927224155
2800,-443227.60514433123,91256.64059920135,-351970.9645451299,300.7728122481562,467.22250927224155
2850,-442829.811569124,92005.34924105008,-350824.4623280739,303.2404814751265,468.4280347926575
2900,-442786.1817618706,90993.31863437642,-351792.86312749423,299.9049292385794,468.3681351920753
2950,-442831.073436541,92245.080685375,-350585.992751166,304.0306124751334,468.3681351920753
3000,-442188.71853406285,92065.10304675478,-350123.61548730807,303.43742407641366,468.3681351920753
3050,-440652.7737749752,91652.5480619517,-349000.2257130235,302.07768387371215,468.5882071131311
3100,-441727.796490642,92143.79243789703,-349584.00405274495,303.69677648422254,468.5882071131311
3150,-441232.25176002854,91479.52090800824,-349752.7308520203,301.50740358128456,468.6174418433475
3200,-442012.90643435623,92330.00451006883,-349682.90192428743,304.3105129559348,468.6174418433475
3250,-441144.1701101416,91259.87794480426,-349884.29216533736,300.7834822173202,468.6174418433475
3300,-441999.65176407155,90893.58285788968,-351106.06890618184,299.57621003766747,467.4377749143093
3350,-441305.61951874243,90624.68690341481,-350680.93261532765,298.6899557125191,467.4377749143093
3400,-441191.1775667018,91484.79771171755,-349706.37985498423,301.52479540155,467.82665356920194
3450,-441013.0523024965,92674.79926049823,-348338.25304199825,305.44692216466865,467.82665356920194
3500,-441475.1570689236,92440.08656401449,-349035.0705049091,304.67333245844867,467.82665356920194
3550,-441601.3393393585,90678.52497047887,-350922.81436887966,298.86740062754706,467.82665356920194
3600,-440797.7362309268,91181.49166793251,-349616.24456299434,300.52512884400323,467.82665356920194
3650,-440006.80008054595,92056.76650524506,-347950.0335753009,303.40994766463876,467.82665356920194
3700,-440244.24300441006,91392.63348722653,-348851.6095171835,301.2210312830506,467.82665356920194
3750,-440317.4954130186,92875.4593413038,-347442.0360717148,306.10827783603185,466.86235490150847
3800,-440501.49466048833,91077.31367598224,-349424.1809845061,300.181768542687,467.08680612294734
3850,-439197.3536960108,92782.82949034065,-346414.5242056701,305.8029790589853,467.08680612294734
3900,-440215.7597421962,92266.74551555706,-347949.0142266391,304.1020176009188,466.9670692411714
3950,-440889.6715786159,92448.66549422688,-348441.00608438905,304.70160775928287,466.9670692411714
