#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
20800,-429947.4130183426,91771.73637906458,-338175.676639278,302.47051671403784,457.0025397491518
20850,-430788.4243964185,92496.47268292113,-338291.9517134974,304.8591754989545,457.0025397491518
20900,-429347.5329646445,92074.54741534093,-337272.9855493036,303.46855177606284,457.0025397491518
20950,-429648.22100766725,92568.13016668372,-337080.09084098355,305.09535143933965,457.0025397491518
21000,-430054.3013337967,92317.20764967159,-337737.0936841251,304.2683357766703,457.0025397491518
21050,-430226.524718591,91966.38181599305,-338260.14290259796,303.11204871731826,455.3239543843356
21100,-430399.7541386015,90524.04168317528,-339875.7124554262,298.3582390754392,457.20466368657424
21150,-430697.1978813375,91854.83609424166,-338842.36178709584,302.7444051112736,457.20466368657424
21200,-430900.55172497476,92628.30676744432,-338272.24495753046,305.2936875310855,455.59702764977425
21250,-431789.62926255306,92636.7301954458,-339152.89906710724,305.32145031209666,456.0298138767157
21300,-430539.1110191238,91479.17418404255,-339059.93683508126,301.5062608135742,456.12937080084697
21350,-430470.78056480363,91355.00153730692,-339115.7790274967,301.0970001184868,456.12937080084697
21400,-430064.67287733173,92572.68776060663,-337491.9851167251,305.1103728156721,456.12937080084697
21450,-429663.953332681,92376.96818207856,-337286.9851506024,304.4653005484992,456.3325147444021
21500,-431180.99018575577,92153.9121006057,-339027.0780851501,303.7301298861438,456.3325147444021
21550,-431588.13447122835,91561.42572717738,-340026.70874405093,301.77735372010653,456.28005273746436
21600,-430429.36874876847,91107.06659942947,-339322.302149339,300.27983121954065,456.28005273746436
21650,-429628.94851899566,92395.99469024027,-337232.9538287554,304.5280100272778,456.28005273746436
21700,-429806.032773247,90799.04495116633,-339006.9878220807,299.2646224985851,456.28005273746436
21750,-429279.3117646354,92468.65583806198,-336810.6559265734,304.76749394459074,456.28005273746436
21800,-428890.8684433517,91638.5281957273,-337252.34024762444,302.0314757888652,456.28005273746436
21850,-429275.2285399698,92901.88259668785,-336373.3459432819,306.1953662580736,456.28005273746436
21900,-429193.89176570973,91525.54952313569,-337668.342242574,301.6591093193533,456.28005273746436
21950,-429814.996999308,92260.4029338551,-337554.5940654529,304.0811130823776,456.28005273746436
22000,-428707.3832783995,92255.29335003409,-336452.08992836537,304.06427240223456,456.28005273746436
22050,-429426.1742462928,90639.31864859849,-338786.8555976943,298.7381804895665,456.28005273746436
22100,-430029.8028333285,90990.4364500774,-339039.3663832511,299.89542984575337,456.28005273746436
22150,-429219.05613051774,92240.04683335252,-336979.0092971652,304.014021399467,456.28005273746436
22200,-429572.12722505233,91502.67302282577,-338069.4542022266,301.583710649323,456.28005273746436
22250,-429814.49007955357,92149.23561816713,-337665.2544613864,303.71471666508677,456.28005273746436
22300,-431117.013242461,91265.0794234644,-339851.93381899665,300.8006257737144,455.9346183373027
22350,-429168.48026773706,92146.71885645046,-337021.7614112866,303.7064216687521,455.9346183373027
22400,-430178.6186534043,92077.53846840403,-338101.08018500026,303.47840998950863,455.74711798000834
22450,-430864.6507619957,92276.46533086925,-338588.18543112645,304.1340531455848,455.74711798000834
22500,-430618.57469289005,91416.73149024023,-339201.84320264985,301.30045590451823,455.74711798000834
22550,-430867.97488521924,91728.74965149854,-339139.22523372073,302.32883673486606,455.3201423506771
22600,-429954.78591140476,91303.65522226003,-338651.1306891447,300.92776777031105,455.3201423506771
22650,-430877.2576793246,91712.77966042604,-339164.4780188986,302.27620123245316,455.3201423506771
22700,-430328.3727340838,92189.55560087907,-338138.8171332047,303.8476073184183,455.356130890855
22750,-431119.0200383635,90985.35881590401,-340133.6612224595,299.87869446847156,455.356130890855
22800,-431065.3362117619,92161.4782786335,-338903.8579331284,303.7550672564924,455.356130890855
22850,-431091.6189210408,91889.85640152563,-339201.7625195152,302.8598285614294,455.356130890855
22900,-431929.75533722737,90488.38146170042,-341441.37387552694,298.24070653174743,455.5697310958629
22950,-430924.2269467821,91261.47806685187,-339662.74887993024,300.78875606046233,455.5697310958629
